Internet Service,Internet Service_Telco_customer_churn_services,Online Security,Online Security_Telco_customer_churn_services,Online Backup,Online Backup_Telco_customer_churn_services,Streaming TV,Streaming TV_Telco_customer_churn_services,Streaming Movies,Streaming Movies_Telco_customer_churn_services,Contract,Contract_Telco_customer_churn_services,Payment Method,Payment Method_Telco_customer_churn_services,Total Charges,Total Charges_Telco_customer_churn_services,Churn Reason,Churn Reason_Telco_customer_churn_status
Fiber optic,Yes,No,No,No,No,No,No,Yes,Yes,Month-to-month,Month-to-Month,Electronic check,Bank Withdrawal,3605.2,3605.2,Competitor offered more data,Competitor offered more data
Fiber optic,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-month,Month-to-Month,Electronic check,Bank Withdrawal,1145.35,1145.35,Competitor offered more data,Competitor offered more data
No,No,No internet service,No,No internet service,No,No internet service,No,No internet service,No,Month-to-month,Month-to-Month,Mailed check,Mailed Check,38.7,38.7,Competitor offered more data,Attitude of support person
Fiber optic,Yes,No,No,No,No,No,No,No,No,Month-to-month,Month-to-Month,Mailed check,Mailed Check,70.8,70.8,Competitor made better offer,Competitor made better offer
Fiber optic,Yes,No,No,No,No,No,No,Yes,Yes,Month-to-month,Month-to-Month,Credit card (automatic),Credit Card,1448.6,1448.6,Competitor made better offer,Competitor made better offer
Fiber optic,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Month-to-month,Month-to-Month,Electronic check,Bank Withdrawal,291.9,291.9,Price too high,Price too high
Fiber optic,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-month,Month-to-Month,Credit card (automatic),Credit Card,5921.35,5921.35,Product dissatisfaction,Product dissatisfaction
DSL,Yes,No,No,No,No,No,No,No,No,Month-to-month,Month-to-Month,Mailed check,Mailed Check,249.95,249.95,Service dissatisfaction,Competitor made better offer
DSL,Yes,Yes,Yes,No,No,No,No,No,No,Month-to-month,Month-to-Month,Electronic check,Bank Withdrawal,219.65,219.65,Lack of self-service on Website,Lack of self-service on Website
Fiber optic,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-month,Month-to-Month,Electronic check,Bank Withdrawal,669,669.0,Network reliability,Network reliability
Fiber optic,Yes,No,No,No,No,No,No,No,No,Month-to-month,Month-to-Month,Electronic check,Bank Withdrawal,68.95,68.95,Limited range of services,Limited range of services
Fiber optic,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Month-to-month,Month-to-Month,Electronic check,Bank Withdrawal,196.75,196.75,Lack of affordable download/upload speed,Lack of affordable download/upload speed
Fiber optic,Yes,No,No,No,No,No,No,No,No,Month-to-month,Month-to-Month,Electronic check,Bank Withdrawal,318.9,318.9,Long distance charges,Long distance charges
DSL,Yes,No,No,No,No,No,No,No,No,Month-to-month,Month-to-Month,Mailed check,Mailed Check,24.45,24.45,Extra data charges,Extra data charges
Fiber optic,Yes,No,No,No,No,Yes,Yes,No,No,Month-to-month,Month-to-Month,Credit card (automatic),Credit Card,631.85,631.85,Price too high,Price too high
Fiber optic,Yes,No,No,No,No,Yes,Yes,No,No,Month-to-month,Month-to-Month,Electronic check,Bank Withdrawal,307.4,307.4,Product dissatisfaction,Product dissatisfaction
DSL,Yes,Yes,Yes,No,No,No,No,No,No,Month-to-month,Month-to-Month,Electronic check,Bank Withdrawal,55.8,55.8,Service dissatisfaction,Service dissatisfaction
Fiber optic,Yes,No,No,No,No,Yes,Yes,No,No,Month-to-month,Month-to-Month,Electronic check,Bank Withdrawal,79.05,79.05,Lack of self-service on Website,Competitor made better offer
Fiber optic,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Month-to-month,Month-to-Month,Electronic check,Bank Withdrawal,95,95.0,Network reliability,Network reliability
DSL,Yes,No,No,No,No,No,No,No,No,Month-to-month,Month-to-Month,Mailed check,Mailed Check,25.2,25.2,Don't know,Don't know
Fiber optic,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Month-to-month,Month-to-Month,Electronic check,Bank Withdrawal,4187.75,4187.75,Competitor had better devices,Competitor had better devices
DSL,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Two year,Two Year,Credit card (automatic),Credit Card,5154.6,5154.6,Competitor offered higher download speeds,Competitor offered higher download speeds
Fiber optic,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Month-to-month,Month-to-Month,Electronic check,Bank Withdrawal,3496.3,3496.3,Competitor offered more data,Competitor offered more data
Fiber optic,Yes,No,No,No,No,No,No,Yes,Yes,Month-to-month,Month-to-Month,Electronic check,Bank Withdrawal,914.3,914.3,Competitor made better offer,Competitor made better offer
Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Two Year,Bank transfer (automatic),Bank Withdrawal,6110.2,6110.2,Competitor had better devices,Competitor had better devices
No,No,No internet service,No,No internet service,No,No internet service,No,No internet service,No,One year,One Year,Credit card (automatic),Credit Card,28.3,28.3,Competitor had better devices,Long distance charges
Fiber optic,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Month-to-month,Month-to-Month,Electronic check,Bank Withdrawal,2351.8,2351.8,Competitor offered higher download speeds,Attitude of support person
DSL,Yes,No,No,No,No,No,No,No,No,Month-to-month,Month-to-Month,Electronic check,Bank Withdrawal,679.55,679.55,Competitor offered higher download speeds,Competitor had better devices
DSL,Yes,Yes,Yes,No,No,No,No,No,No,Month-to-month,Month-to-Month,Credit card (automatic),Credit Card,1994.3,1994.3,Competitor offered higher download speeds,Competitor offered higher download speeds
Fiber optic,Yes,No,No,Yes,Yes,No,No,No,No,Month-to-month,Month-to-Month,Electronic check,Bank Withdrawal,1505.85,1505.85,Competitor offered more data,Competitor offered more data
Fiber optic,Yes,No,No,Yes,Yes,Yes,Yes,No,No,Two year,Two Year,Electronic check,Bank Withdrawal,5638.3,5638.3,Competitor offered more data,Competitor offered more data
Fiber optic,Yes,No,No,No,No,No,No,No,No,Month-to-month,Month-to-Month,Electronic check,Bank Withdrawal,71.65,71.65,Competitor offered more data,Competitor offered more data
Fiber optic,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-month,Month-to-Month,Electronic check,Bank Withdrawal,2542.45,2542.45,Competitor made better offer,Competitor made better offer
Fiber optic,Yes,No,No,No,No,No,No,No,No,Month-to-month,Month-to-Month,Electronic check,Bank Withdrawal,210.3,210.3,Competitor made better offer,Competitor made better offer
Fiber optic,Yes,No,No,No,No,No,No,No,No,Month-to-month,Month-to-Month,Electronic check,Bank Withdrawal,74.2,74.2,Price too high,Price too high
Fiber optic,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-month,Month-to-Month,Electronic check,Bank Withdrawal,4388.4,4388.4,Product dissatisfaction,Product dissatisfaction
Fiber optic,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-month,Month-to-Month,Electronic check,Bank Withdrawal,420.2,420.2,Service dissatisfaction,Service dissatisfaction
Fiber optic,Yes,Yes,Yes,No,No,No,No,Yes,Yes,One year,One Year,Electronic check,Bank Withdrawal,2177.45,2177.45,Lack of self-service on Website,Competitor made better offer
DSL,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,One year,One Year,Bank transfer (automatic),Bank Withdrawal,3913.3,3913.3,Network reliability,Network reliability
Fiber optic,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,One year,One Year,Electronic check,Bank Withdrawal,443.9,443.9,Limited range of services,Limited range of services
Fiber optic,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-month,Month-to-Month,Electronic check,Bank Withdrawal,3436.1,3436.1,Lack of affordable download/upload speed,Lack of affordable download/upload speed
Fiber optic,Yes,No,No,No,No,No,No,No,No,Month-to-month,Month-to-Month,Mailed check,Credit Card,70.85,70.85,Long distance charges,Long distance charges
DSL,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,One year,One Year,Credit card (automatic),Credit Card,3110.1,3110.1,Extra data charges,Extra data charges
Fiber optic,Yes,No,No,No,No,No,No,No,No,Month-to-month,Month-to-Month,Electronic check,Bank Withdrawal,280.85,280.85,Price too high,Competitor had better devices
Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Two Year,Bank transfer (automatic),Bank Withdrawal,6144.55,6144.55,Product dissatisfaction,Product dissatisfaction
Fiber optic,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-month,Month-to-Month,Electronic check,Bank Withdrawal,2983.8,2983.8,Service dissatisfaction,Service dissatisfaction
Fiber optic,Yes,No,No,Yes,Yes,No,No,No,No,Month-to-month,Month-to-Month,Bank transfer (automatic),Bank Withdrawal,1565.7,1565.7,Lack of self-service on Website,Lack of self-service on Website
Fiber optic,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Month-to-month,Month-to-Month,Bank transfer (automatic),Bank Withdrawal,298.35,298.35,Network reliability,Network reliability
Fiber optic,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,One year,One Year,Electronic check,Bank Withdrawal,4534.9,4534.9,Don't know,Don't know
DSL,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,One year,One Year,Electronic check,Bank Withdrawal,1157.05,1157.05,Attitude of service provider,Attitude of service provider
DSL,Yes,No,No,No,No,No,No,No,No,Month-to-month,Month-to-Month,Electronic check,Bank Withdrawal,45.75,45.75,Attitude of support person,Attitude of support person
Fiber optic,Yes,No,No,Yes,Yes,No,No,No,No,Month-to-month,Month-to-Month,Electronic check,Bank Withdrawal,815.5,815.5,Attitude of support person,Attitude of support person
Fiber optic,Yes,No,No,No,No,No,No,Yes,Yes,Month-to-month,Month-to-Month,Credit card (automatic),Credit Card,80.15,80.15,Attitude of support person,Attitude of support person
Fiber optic,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,One year,One Year,Electronic check,Bank Withdrawal,8109.8,8109.8,Attitude of service provider,Competitor had better devices
DSL,Yes,No,No,No,No,Yes,Yes,No,No,Month-to-month,Month-to-Month,Credit card (automatic),Credit Card,108.95,108.95,Attitude of service provider,Competitor had better devices
Fiber optic,Yes,No,No,No,No,Yes,Yes,No,No,Month-to-month,Month-to-Month,Electronic check,Bank Withdrawal,78.8,78.8,Attitude of service provider,Attitude of service provider
Fiber optic,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-month,Month-to-Month,Electronic check,Bank Withdrawal,5127.95,5127.95,Attitude of support person,Competitor had better devices
DSL,Yes,Yes,Yes,No,No,No,No,No,No,Month-to-month,Month-to-Month,Electronic check,Bank Withdrawal,874.8,874.8,Deceased,Deceased
Fiber optic,Yes,No,No,No,No,No,No,No,No,Month-to-month,Month-to-Month,Electronic check,Bank Withdrawal,69.1,69.1,Moved,Moved
Fiber optic,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Month-to-month,Month-to-Month,Electronic check,Bank Withdrawal,1776.55,1776.55,Moved,Moved
Fiber optic,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Month-to-month,Month-to-Month,Bank transfer (automatic),Bank Withdrawal,536.4,536.4,Moved,Moved
Fiber optic,Yes,No,No,No,No,No,No,Yes,Yes,Month-to-month,Month-to-Month,Mailed check,Credit Card,80.85,80.85,Competitor had better devices,Competitor had better devices
Fiber optic,Yes,No,No,No,No,No,No,Yes,Yes,One year,One Year,Mailed check,Mailed Check,4029.95,4029.95,Competitor offered higher download speeds,Competitor offered higher download speeds
No,No,No internet service,No,No internet service,No,No internet service,No,No internet service,No,Month-to-month,Month-to-Month,Credit card (automatic),Credit Card,51.15,51.15,Competitor offered more data,Attitude of support person
Fiber optic,Yes,No,No,No,No,No,No,No,No,Month-to-month,Month-to-Month,Electronic check,Bank Withdrawal,149.55,149.55,Competitor made better offer,Competitor made better offer
Fiber optic,Yes,No,No,No,No,No,No,Yes,Yes,Month-to-month,Month-to-Month,Electronic check,Bank Withdrawal,78.65,78.65,Competitor had better devices,Competitor had better devices
DSL,Yes,No,No,No,No,No,No,No,No,Month-to-month,Month-to-Month,Electronic check,Bank Withdrawal,42.9,42.9,Competitor had better devices,Competitor had better devices
DSL,Yes,Yes,Yes,No,No,No,No,No,No,Month-to-month,Month-to-Month,Mailed check,Mailed Check,139.35,139.35,Competitor offered higher download speeds,Competitor offered higher download speeds
DSL,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Month-to-month,Month-to-Month,Mailed check,Mailed Check,539.85,539.85,Competitor offered higher download speeds,Competitor offered higher download speeds
Fiber optic,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Month-to-month,Month-to-Month,Electronic check,Bank Withdrawal,4718.25,4718.25,Competitor offered higher download speeds,Attitude of support person
Fiber optic,Yes,No,No,No,No,No,No,No,No,Month-to-month,Month-to-Month,Electronic check,Bank Withdrawal,434.1,434.1,Competitor offered more data,Competitor offered more data
Fiber optic,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-month,Month-to-Month,Electronic check,Bank Withdrawal,545.2,545.2,Competitor offered more data,Competitor offered more data
Fiber optic,Yes,No,No,No,No,No,No,No,No,Month-to-month,Month-to-Month,Bank transfer (automatic),Bank Withdrawal,1284.2,1284.2,Don't know,Don't know
Fiber optic,Yes,No,No,No,No,No,No,Yes,Yes,Month-to-month,Month-to-Month,Electronic check,Bank Withdrawal,646.85,646.85,Competitor made better offer,Competitor made better offer
No,No,No internet service,No,No internet service,No,No internet service,No,No internet service,No,Two year,Two Year,Credit card (automatic),Credit Card,692.1,692.1,Competitor made better offer,Competitor made better offer
Fiber optic,Yes,No,No,No,No,No,No,Yes,Yes,Month-to-month,Month-to-Month,Credit card (automatic),Credit Card,1727.5,1727.5,Price too high,Price too high
DSL,Yes,No,No,No,No,No,No,No,No,Month-to-month,Month-to-Month,Electronic check,Bank Withdrawal,86.6,86.6,Product dissatisfaction,Competitor made better offer
Fiber optic,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-month,Month-to-Month,Electronic check,Bank Withdrawal,2979.5,2979.5,Service dissatisfaction,Service dissatisfaction
DSL,Yes,No,No,No,No,No,No,No,No,Month-to-month,Month-to-Month,Electronic check,Bank Withdrawal,24.25,24.25,Lack of self-service on Website,Lack of self-service on Website
Fiber optic,Yes,No,No,No,No,No,No,No,No,Month-to-month,Month-to-Month,Electronic check,Bank Withdrawal,837.95,837.95,Network reliability,Network reliability
Fiber optic,Yes,No,No,Yes,Yes,No,No,Yes,Yes,Month-to-month,Month-to-Month,Electronic check,Bank Withdrawal,362.2,362.2,Limited range of services,Competitor made better offer
Fiber optic,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,One year,One Year,Credit card (automatic),Credit Card,5373.1,5373.1,Lack of affordable download/upload speed,Lack of affordable download/upload speed
Fiber optic,Yes,Yes,Yes,No,No,No,No,No,No,Month-to-month,Month-to-Month,Bank transfer (automatic),Bank Withdrawal,2068.55,2068.55,Long distance charges,Long distance charges
Fiber optic,Yes,No,No,No,No,No,No,No,No,Month-to-month,Month-to-Month,Electronic check,Bank Withdrawal,131.65,131.65,Extra data charges,Extra data charges
No,No,No internet service,No,No internet service,No,No internet service,No,No internet service,No,Month-to-month,Month-to-Month,Mailed check,Mailed Check,24.05,24.05,Price too high,Price too high
DSL,Yes,No,No,Yes,Yes,No,No,No,No,Month-to-month,Month-to-Month,Electronic check,Bank Withdrawal,50.55,50.55,Product dissatisfaction,Product dissatisfaction
Fiber optic,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-month,Month-to-Month,Electronic check,Bank Withdrawal,1415.55,1415.55,Service dissatisfaction,Service dissatisfaction
No,No,No internet service,No,No internet service,No,No internet service,No,No internet service,No,Month-to-month,Month-to-Month,Mailed check,Mailed Check,20.5,20.5,Lack of self-service on Website,Long distance charges
Fiber optic,Yes,No,No,No,No,No,No,No,No,Month-to-month,Month-to-Month,Bank transfer (automatic),Bank Withdrawal,321.9,321.9,Network reliability,Network reliability
DSL,Yes,No,No,No,No,No,No,No,No,Month-to-month,Month-to-Month,Electronic check,Bank Withdrawal,482.8,482.8,Don't know,Don't know
Fiber optic,Yes,No,No,No,No,No,No,No,No,Month-to-month,Month-to-Month,Credit card (automatic),Credit Card,914,914.0,Don't know,Don't know
DSL,Yes,No,No,No,No,Yes,Yes,No,No,Month-to-month,Month-to-Month,Electronic check,Bank Withdrawal,1172.95,1172.95,Don't know,Don't know
DSL,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-month,Month-to-Month,Electronic check,Bank Withdrawal,155.35,155.35,Poor expertise of online support,Poor expertise of online support
Fiber optic,Yes,No,No,No,No,No,No,No,No,Month-to-month,Month-to-Month,Electronic check,Bank Withdrawal,3303.05,3303.05,Poor expertise of phone support,Competitor made better offer
DSL,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Month-to-month,Month-to-Month,Mailed check,Credit Card,134.35,134.35,Competitor had better devices,Competitor had better devices
Fiber optic,Yes,No,No,No,No,No,No,No,No,Month-to-month,Month-to-Month,Electronic check,Bank Withdrawal,70.5,70.5,Competitor offered higher download speeds,Competitor offered higher download speeds
Fiber optic,Yes,No,No,Yes,Yes,No,No,Yes,Yes,Month-to-month,Month-to-Month,Electronic check,Bank Withdrawal,953.45,953.45,Competitor offered more data,Competitor offered more data
No,No,No internet service,No,No internet service,No,No internet service,No,No internet service,No,Month-to-month,Month-to-Month,Mailed check,Credit Card,19.75,19.75,Competitor made better offer,Competitor made better offer
DSL,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Month-to-month,Month-to-Month,Electronic check,Bank Withdrawal,937.6,937.6,Competitor had better devices,Competitor had better devices
Fiber optic,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Month-to-month,Month-to-Month,Electronic check,Bank Withdrawal,5812.6,5812.6,Competitor had better devices,Competitor had better devices
DSL,Yes,Yes,Yes,No,No,Yes,Yes,No,No,One year,One Year,Bank transfer (automatic),Bank Withdrawal,1544.05,1544.05,Don't know,Don't know
Fiber optic,Yes,No,No,No,No,No,No,No,No,Month-to-month,Month-to-Month,Electronic check,Bank Withdrawal,69.6,69.6,Competitor offered higher download speeds,Competitor made better offer
DSL,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,One year,One Year,Electronic check,Bank Withdrawal,4059.35,4059.35,Competitor offered higher download speeds,Competitor offered higher download speeds
Fiber optic,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-month,Month-to-Month,Electronic check,Bank Withdrawal,6851.65,6851.65,Competitor offered more data,Competitor offered more data
Fiber optic,Yes,No,No,No,No,Yes,Yes,No,No,Month-to-month,Month-to-Month,Electronic check,Bank Withdrawal,78.05,78.05,Competitor offered more data,Competitor offered more data
Fiber optic,Yes,No,No,No,No,No,No,No,No,Month-to-month,Month-to-Month,Electronic check,Bank Withdrawal,520,520.0,Competitor offered more data,Competitor offered more data
Fiber optic,Yes,No,No,No,No,No,No,No,No,Month-to-month,Month-to-Month,Electronic check,Bank Withdrawal,706.6,706.6,Competitor made better offer,Competitor made better offer
No,No,No internet service,No,No internet service,No,No internet service,No,No internet service,No,Month-to-month,Month-to-Month,Mailed check,Credit Card,20.2,20.2,Competitor made better offer,Competitor made better offer
Fiber optic,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Month-to-month,Month-to-Month,Electronic check,Bank Withdrawal,2264.05,2264.05,Price too high,Price too high
DSL,Yes,No,No,No,No,No,No,No,No,Month-to-month,Month-to-Month,Electronic check,Bank Withdrawal,56.35,56.35,Product dissatisfaction,Product dissatisfaction
Fiber optic,Yes,No,No,Yes,Yes,No,No,Yes,Yes,Month-to-month,Month-to-Month,Electronic check,Bank Withdrawal,2510.2,2510.2,Service dissatisfaction,Service dissatisfaction
DSL,Yes,No,No,Yes,Yes,Yes,Yes,No,No,Month-to-month,Month-to-Month,Electronic check,Bank Withdrawal,2111.45,2111.45,Lack of self-service on Website,Lack of self-service on Website
No,No,No internet service,No,No internet service,No,No internet service,No,No internet service,No,Month-to-month,Month-to-Month,Mailed check,Credit Card,20.25,20.25,Network reliability,Attitude of support person
DSL,Yes,No,No,No,No,No,No,No,No,Month-to-month,Month-to-Month,Electronic check,Bank Withdrawal,300.8,300.8,Limited range of services,Limited range of services
Fiber optic,Yes,No,No,No,No,Yes,Yes,No,No,Month-to-month,Month-to-Month,Electronic check,Bank Withdrawal,85.45,85.45,Lack of affordable download/upload speed,Lack of affordable download/upload speed
Fiber optic,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,One year,One Year,Bank transfer (automatic),Bank Withdrawal,6137,6137.0,Long distance charges,Long distance charges
Fiber optic,Yes,No,No,No,No,No,No,Yes,Yes,Month-to-month,Month-to-Month,Electronic check,Bank Withdrawal,2043.45,2043.45,Extra data charges,Extra data charges
Fiber optic,Yes,No,No,No,No,No,No,No,No,Month-to-month,Month-to-Month,Electronic check,Bank Withdrawal,2576.2,2576.2,Price too high,Price too high
DSL,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Two Year,Electronic check,Bank Withdrawal,3515.25,3515.25,Product dissatisfaction,Product dissatisfaction
Fiber optic,Yes,No,No,No,No,No,No,No,No,Month-to-month,Month-to-Month,Electronic check,Bank Withdrawal,469.8,469.8,Service dissatisfaction,Service dissatisfaction
Fiber optic,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-month,Month-to-Month,Electronic check,Bank Withdrawal,1457.25,1457.25,Lack of self-service on Website,Lack of self-service on Website
No,No,No internet service,No,No internet service,No,No internet service,No,No internet service,No,Month-to-month,Month-to-Month,Mailed check,Credit Card,185.6,185.6,Network reliability,Attitude of support person
DSL,Yes,No,No,No,No,No,No,No,No,Month-to-month,Month-to-Month,Credit card (automatic),Credit Card,973.55,973.55,Don't know,Don't know
DSL,Yes,No,No,No,No,No,No,No,No,Month-to-month,Month-to-Month,Electronic check,Bank Withdrawal,41.85,41.85,Competitor had better devices,Competitor had better devices
Fiber optic,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Month-to-month,Month-to-Month,Electronic check,Bank Withdrawal,2862.75,2862.75,Competitor offered higher download speeds,Attitude of support person
Fiber optic,Yes,No,No,No,No,No,No,No,No,Month-to-month,Month-to-Month,Bank transfer (automatic),Bank Withdrawal,343.95,343.95,Competitor offered more data,Competitor offered more data
Fiber optic,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Month-to-month,Month-to-Month,Electronic check,Bank Withdrawal,2890.65,2890.65,Competitor made better offer,Competitor made better offer
Fiber optic,Yes,Yes,Yes,No,No,Yes,Yes,No,No,Month-to-month,Month-to-Month,Credit card (automatic),Credit Card,1222.05,1222.05,Competitor had better devices,Competitor had better devices
Fiber optic,Yes,No,No,No,No,Yes,Yes,Yes,Yes,One year,One Year,Electronic check,Bank Withdrawal,5743.05,5743.05,Competitor had better devices,Competitor had better devices
Fiber optic,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-month,Month-to-Month,Credit card (automatic),Credit Card,2496.7,2496.7,Competitor offered higher download speeds,Attitude of support person
Fiber optic,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Month-to-month,Month-to-Month,Electronic check,Bank Withdrawal,90.6,90.6,Competitor offered higher download speeds,Competitor offered higher download speeds
DSL,Yes,No,No,No,No,No,No,No,No,Month-to-month,Month-to-Month,Bank transfer (automatic),Bank Withdrawal,288.05,288.05,Competitor offered higher download speeds,Competitor offered higher download speeds
Fiber optic,Yes,No,No,Yes,Yes,No,No,Yes,Yes,Month-to-month,Month-to-Month,Electronic check,Bank Withdrawal,368.1,368.1,Competitor offered more data,Competitor offered more data
Fiber optic,Yes,No,No,No,No,No,No,No,No,Month-to-month,Month-to-Month,Electronic check,Bank Withdrawal,256.6,256.6,Competitor offered more data,Competitor offered more data
Fiber optic,Yes,No,No,No,No,No,No,No,No,Month-to-month,Month-to-Month,Electronic check,Bank Withdrawal,68.5,68.5,Competitor offered more data,Competitor offered more data
Fiber optic,Yes,Yes,Yes,No,No,No,No,No,No,Month-to-month,Month-to-Month,Electronic check,Bank Withdrawal,791.75,791.75,Competitor made better offer,Competitor made better offer
Fiber optic,Yes,No,No,No,No,No,No,No,No,Month-to-month,Month-to-Month,Mailed check,Credit Card,69.95,69.95,Competitor made better offer,Competitor made better offer
DSL,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Month-to-month,Month-to-Month,Electronic check,Bank Withdrawal,346.4,346.4,Price too high,Price too high
Fiber optic,Yes,No,No,Yes,Yes,Yes,Yes,No,No,Month-to-month,Month-to-Month,Electronic check,Bank Withdrawal,773.65,773.65,Product dissatisfaction,Product dissatisfaction
DSL,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Month-to-month,Month-to-Month,Mailed check,Credit Card,1422.05,1422.05,Service dissatisfaction,Service dissatisfaction
Fiber optic,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Month-to-month,Month-to-Month,Electronic check,Bank Withdrawal,2467.1,2467.1,Lack of self-service on Website,Lack of self-service on Website
DSL,Yes,No,No,No,No,Yes,Yes,Yes,Yes,One year,One Year,Mailed check,Credit Card,989.45,989.45,Network reliability,Network reliability
Fiber optic,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,One year,One Year,Mailed check,Credit Card,4830.25,4830.25,Limited range of services,Limited range of services
No,No,No internet service,No,No internet service,No,No internet service,No,No internet service,No,Month-to-month,Month-to-Month,Mailed check,Credit Card,59.75,59.75,Lack of affordable download/upload speed,Attitude of support person
DSL,Yes,Yes,Yes,No,No,Yes,Yes,No,No,Month-to-month,Month-to-Month,Bank transfer (automatic),Bank Withdrawal,94.55,94.55,Long distance charges,Long distance charges
Fiber optic,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Month-to-month,Month-to-Month,Credit card (automatic),Credit Card,6871.9,6871.9,Extra data charges,Extra data charges
Fiber optic,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,One year,One Year,Electronic check,Bank Withdrawal,6529.25,6529.25,Price too high,Price too high
Fiber optic,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Month-to-month,Month-to-Month,Credit card (automatic),Credit Card,1454.15,1454.15,Product dissatisfaction,Product dissatisfaction
No,No,No internet service,No,No internet service,No,No internet service,No,No internet service,No,Two year,Two Year,Credit card (automatic),Credit Card,1327.15,1327.15,Service dissatisfaction,Service dissatisfaction
Fiber optic,Yes,No,No,No,No,No,No,No,No,Month-to-month,Month-to-Month,Credit card (automatic),Credit Card,2404.15,2404.15,Lack of self-service on Website,Lack of self-service on Website
DSL,Yes,No,No,Yes,Yes,No,No,No,No,Month-to-month,Month-to-Month,Mailed check,Credit Card,114.7,114.7,Network reliability,Network reliability
Fiber optic,Yes,No,No,No,No,Yes,Yes,Yes,Yes,One year,One Year,Credit card (automatic),Credit Card,6975.25,6975.25,Don't know,Don't know
Fiber optic,Yes,No,No,No,No,No,No,Yes,Yes,Month-to-month,Month-to-Month,Electronic check,Bank Withdrawal,257.05,257.05,Attitude of service provider,Attitude of service provider
DSL,Yes,No,No,No,No,Yes,Yes,No,No,Month-to-month,Month-to-Month,Electronic check,Bank Withdrawal,40.1,40.1,Attitude of support person,Attitude of support person
Fiber optic,Yes,No,No,No,No,No,No,No,No,Month-to-month,Month-to-Month,Electronic check,Bank Withdrawal,2217.15,2217.15,Attitude of support person,Attitude of support person
Fiber optic,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Month-to-month,Month-to-Month,Mailed check,Credit Card,1129.1,1129.1,Attitude of support person,Attitude of support person
DSL,Yes,Yes,Yes,No,No,Yes,Yes,No,No,Month-to-month,Month-to-Month,Electronic check,Bank Withdrawal,2568.55,2568.55,Don't know,Don't know
